11426527 37.40
4462586 28.94
181707 18.72
212941 5.86
5331550 42.90
11658344 37.74
4460592 27.78
181574 18.17
212916 4.42
5346198 42.12
11245070 38.39
4375534 29.39
181260 19.92
211700 4.14
5222216 42.83
11478361 37.59
4481440 28.95
182269 19.36
213858 6.86
5348794 42.25
11859739 37.55
4573954 28.71
182422 19.01
215106 4.33
5473666 41.69
11302188 38.67
4431538 29.80
181912 19.33
213089 4.59
5286450 42.62
11518741 38.04
4476020 28.76
182125 18.81
213816 6.68
5345338 42.27
11285088 38.87
4399346 29.49
181546 19.67
212353 5.70
5247014 42.82
11606700 37.79
4495210 28.06
181424 18.65
213702 4.25
5369802 42.17
11729228 37.95
4500820 28.59
182609 19.26
214131 4.89
5387470 41.95
11480908 38.43
4489044 29.16
181618 19.13
213402 8.29
5353146 42.44
11209969 37.49
4376462 28.71
181404 19.09
211973 4.40
5220622 42.80
11927758 36.66
4609136 28.91
181397 18.70
214556 3.54
5513930 41.87
11650576 37.74
4509628 28.54
183269 18.92
214954 7.48
5388284 42.28
11341273 37.07
4389778 28.88
182059 20.37
212784 5.38
5247200 41.70
11285874 37.57
4362838 28.31
181048 19.14
211563 6.50
5216964 42.12
11610777 38.74
4533990 28.54
181434 18.91
213784 7.17
5411250 42.44
11438466 38.78
4466894 29.02
181251 19.53
213352 5.09
5331696 41.77
11536220 37.69
4463794 28.11
181986 19.48
213461 7.28
5331226 41.53
11547969 39.21
4473956 29.10
181529 18.23
213198 4.48
5347884 42.59
11823574 37.36
4589064 28.99
181718 18.63
214685 4.45
5485030 41.98
11591565 37.18
4483524 29.56
182487 19.89
214051 4.03
5354086 42.36
11425546 37.01
4460224 28.90
182370 19.44
213692 5.76
5323398 42.72
11514491 37.80
4448082 28.28
182492 19.57
214052 5.82
5316730 42.31
11223078 37.09
4395538 29.22
181801 19.80
212715 5.00
5237340 42.21
11458272 38.04
4450648 29.34
181333 19.05
212936 5.46
5321220 41.95
11474160 37.37
4472030 28.98
181960 20.31
213348 3.64
5335474 42.87
11260185 37.95
4440898 29.23
182610 19.62
213392 5.76
5287406 42.67
11442230 37.33
4478700 29.12
183132 19.43
214389 5.19
5338358 42.86
11388382 38.37
4427492 28.67
182021 19.56
212711 5.46
5288038 42.07
11321179 37.56
4411662 28.47
180953 18.94
211882 5.48
5266032 42.99
11155311 38.01
4387288 28.75
182295 19.43
213250 3.75
5227400 42.59
11488529 39.09
4502112 29.17
181251 18.80
213302 5.74
5371604 42.36
11470353 37.51
4389146 28.83
181996 20.29
212663 3.31
5256832 42.23
11201113 38.31
4348722 29.41
182436 19.69
212532 3.78
5193424 42.74
11802539 36.81
4601568 28.66
181900 18.50
214829 4.28
5492218 42.13
11208389 37.87
4376266 28.97
182277 20.09
212885 3.68
5215008 42.91
11356345 36.71
4472416 28.41
180799 18.81
212367 6.27
5324956 43.17
11201786 38.53
4399892 29.44
181654 19.38
212563 3.70
5242082 42.73
11667678 38.35
4601998 29.78
182245 19.66
214789 4.94
5477350 42.69
11728206 37.10
4546754 28.11
181919 19.37
214690 6.01
5435078 42.58
11617203 37.36
4476894 27.69
181140 19.13
212813 5.80
5359804 41.48
11733246 37.83
4523202 28.21
182341 19.71
214266 4.63
5406708 41.96
11505862 39.00
4390608 28.38
181106 19.42
212302 7.36
5265654 41.99
11288763 37.31
4391572 29.07
181328 20.59
212383 3.96
5241930 42.52
11681851 37.63
4529536 28.64
181913 18.77
214188 4.13
5412952 42.27
11606640 37.52
