num_nodes,num_edges
2449029,10164
2449029,57575
2449029,298944
2449029,10160
2449029,57309
2449029,295777
2449029,10133
2449029,57502
2449029,297493
2449029,10177
2449029,57922
2449029,295121
2449029,10145
2449029,59086
2449029,309107
2449029,10151
2449029,57046
2449029,292683
2449029,10176
2449029,55694
2449029,284488
2449029,10139
2449029,57199
2449029,295595
2449029,10113
2449029,57903
2449029,301436
2449029,10187
2449029,57056
2449029,292713
2449029,10165
2449029,57863
2449029,302523
2449029,10164
2449029,58511
2449029,298352
2449029,10123
2449029,58097
2449029,303697
2449029,10106
2449029,56384
2449029,290630
2449029,10111
2449029,57133
2449029,290495
2449029,10182
2449029,57386
2449029,295978
2449029,10140
2449029,57969
2449029,303559
2449029,10150
2449029,58480
2449029,301549
2449029,10155
2449029,56274
2449029,287151
2449029,10135
2449029,57334
2449029,295553
2449029,10132
2449029,58348
2449029,304778
2449029,10162
2449029,56507
2449029,290949
2449029,10137
2449029,57234
2449029,294169
2449029,10130
2449029,56610
2449029,291900
2449029,10099
2449029,59767
2449029,310147
2449029,10113
2449029,58120
2449029,301691
2449029,10150
2449029,57454
2449029,295828
2449029,10172
2449029,58822
2449029,305481
2449029,10154
2449029,57770
2449029,298669
2449029,10131
2449029,58472
2449029,303002
2449029,10159
2449029,57591
2449029,294542
2449029,10121
2449029,57563
2449029,296114
2449029,10165
2449029,59583
2449029,310210
2449029,10137
2449029,57594
2449029,304033
2449029,10138
2449029,57367
2449029,298217
2449029,10161
2449029,57143
2449029,290161
2449029,10166
2449029,57506
2449029,297923
2449029,10181
2449029,56957
2449029,291700
2449029,10149
2449029,56429
2449029,287463
2449029,10186
2449029,59105
2449029,305762
2449029,10122
2449029,57613
2449029,298904
2449029,10131
2449029,56985
2449029,293957
2449029,10138
2449029,57825
2449029,297045
2449029,10166
2449029,57105
2449029,294886
2449029,10131
2449029,57305
2449029,292801
2449029,10137
2449029,57430
2449029,295839
2449029,10148
2449029,57268
2449029,294139
2449029,10162
2449029,56745
2449029,290285
2449029,10130
2449029,58221
2449029,299115
2449029,10179
2449029,57235
2449029,296380
2449029,10157
2449029,57615
2449029,296716
2449029,10140
2449029,57618
2449029,297214
2449029,10136
2449029,57816
2449029,297632
2449029,10128
2449029,56783
2449029,292504
2449029,10161
2449029,57776
2449029,300532
2449029,10193
2449029,58924
2449029,305564
2449029,10166
2449029,57575
2449029,295693
2449029,10141
2449029,56400
2449029,287392
2449029,10134
2449029,56241
2449029,287914
2449029,10140
2449029,55469
2449029,284202
2449029,10190
2449029,58252
2449029,300108
2449029,10161
2449029,57864
2449029,297067
2449029,10128
2449029,55811
2449029,291046
2449029,10137
2449029,59312
2449029,307086
2449029,10169
2449029,57709
2449029,296861
2449029,10187
2449029,56232
2449029,287715
2449029,10156
2449029,56613
2449029,291551
2449029,10107
2449029,57260
2449029,297164
2449029,10136
2449029,58935
2449029,307786
2449029,10149
2449029,57646
2449029,299773
2449029,10167
2449029,56387
2449029,293209
2449029,10158
2449029,56621
2449029,287248
2449029,10133
2449029,57915
2449029,297701
2449029,10142
2449029,58060
2449029,298902
2449029,10156
2449029,58623
2449029,303183
2449029,10158
2449029,57313
2449029,293116
2449029,10173
2449029,57160
2449029,292950
2449029,10173
2449029,56929
2449029,294617
2449029,10178
2449029,57480
2449029,296894
2449029,10145
2449029,58280
2449029,300794
2449029,10151
2449029,57761
2449029,298079
2449029,10136
2449029,58152
2449029,299373
2449029,10173
2449029,57062
2449029,293524
2449029,10147
2449029,56597
2449029,291204
2449029,10185
2449029,56749
2449029,292325
2449029,10182
2449029,56500
2449029,292989
2449029,10132
2449029,57204
2449029,299437
2449029,10136
2449029,55811
2449029,285226
2449029,10170
2449029,58671
2449029,303094
2449029,10134
2449029,58798
2449029,303667
2449029,10140
2449029,58355
2449029,305474
2449029,10176
2449029,56413
2449029,287362
2449029,10165
2449029,57909
2449029,296877
2449029,10123
2449029,57199
2449029,293933
2449029,10132
2449029,57840
2449029,296545
2449029,10197
2449029,58297
2449029,300606
2449029,10142
2449029,56687
2449029,292117
2449029,10108
2449029,58074
2449029,298433
2449029,10134
2449029,57293
2449029,293938
2449029,10140
2449029,57566
2449029,296603
2449029,10167
2449029,57367
2449029,291878
2449029,10135
2449029,57914
2449029,298494
2449029,10201
2449029,57701
2449029,294081
2449029,10147
2449029,57016
2449029,296118
2449029,10135
2449029,58334
2449029,301303
2449029,10106
2449029,59526
2449029,309826
2449029,10177
2449029,57987
2449029,299660
2449029,10165
2449029,57523
2449029,296228
2449029,10132
2449029,57092
2449029,293172
2449029,10131
2449029,57619
2449029,299059
2449029,10162
2449029,58145
2449029,302084
2449029,10162
2449029,58316
2449029,298501
2449029,10139
2449029,57470
2449029,294046
2449029,10101
2449029,58351
2449029,303877
2449029,10165
2449029,58935
2449029,305691
2449029,10188
2449029,59013
2449029,307791
2449029,10169
2449029,58083
2449029,299873
2449029,10167
2449029,57990
2449029,298728
2449029,10136
2449029,58435
2449029,299832
2449029,10183
2449029,58788
2449029,301137
2449029,10117
2449029,57025
2449029,293321
2449029,10146
2449029,57689
2449029,297906
2449029,10175
2449029,56436
2449029,291249
2449029,10115
2449029,56704
2449029,291798
2449029,10175
2449029,58206
2449029,302237
2449029,10165
2449029,57722
2449029,296471
2449029,10152
2449029,57655
2449029,300485
2449029,10125
2449029,56257
2449029,286525
2449029,10175
2449029,57997
2449029,298348
2449029,10160
2449029,56519
2449029,290523
2449029,10136
2449029,57066
2449029,295696
2449029,10130
2449029,58888
2449029,305603
2449029,10179
2449029,58435
2449029,305254
2449029,10144
2449029,57955
2449029,298443
2449029,10176
2449029,56496
2449029,292310
2449029,10165
2449029,58043
2449029,296903
2449029,10153
2449029,58169
2449029,304339
2449029,10113
2449029,56628
2449029,290692
2449029,10135
2449029,58203
2449029,302737
2449029,10156
2449029,57615
2449029,296579
2449029,10165
2449029,58071
2449029,302565
2449029,10184
2449029,58119
2449029,300052
2449029,10110
2449029,57441
2449029,293640
2449029,10161
2449029,57935
2449029,299453
2449029,10162
2449029,57854
2449029,296161
2449029,10163
2449029,57599
2449029,298860
2449029,10137
2449029,58705
2449029,304916
2449029,10141
2449029,58585
2449029,304116
2449029,10186
2449029,58004
2449029,300606
2449029,10168
2449029,57856
2449029,300149
2449029,10176
2449029,57793
2449029,297845
2449029,10136
2449029,58824
2449029,303331
2449029,10126
2449029,59015
2449029,307173
2449029,10112
2449029,57466
2449029,296757
2449029,10117
2449029,58302
2449029,299305
2449029,10169
2449029,58169
2449029,299819
2449029,10152
2449029,57853
2449029,296375
2449029,10161
2449029,57419
2449029,296594
2449029,10156
2449029,57152
2449029,293778
2449029,10162
2449029,58859
2449029,305324
2449029,10147
2449029,57662
2449029,295844
2449029,10126
2449029,57277
2449029,293054
2449029,10145
2449029,57128
2449029,293086
2449029,10150
2449029,58855
2449029,306398
2449029,10176
2449029,57634
2449029,296248
2449029,10114
2449029,57604
2449029,297745
2449029,10158
2449029,58156
2449029,302484
2449029,10164
2449029,56734
2449029,290952
2449029,10201
2449029,56226
2449029,287299
2449029,10170
2449029,57692
2449029,297193
2449029,10142
2449029,57984
2449029,301639
2449029,10154
2449029,56684
2449029,291138
2449029,10155
2449029,57760
2449029,296919
2449029,10157
2449029,59383
2449029,309023
2449029,10137
2449029,57772
2449029,298495
2449029,10160
2449029,56568
2449029,290289
2449029,10147
2449029,57604
2449029,297013
2449029,10133
2449029,56234
2449029,287419
2449029,10182
2449029,56714
2449029,292063
2449029,10126
2449029,58068
2449029,302876
2449029,10176
2449029,56816
2449029,290838
2449029,10176
2449029,57890
2449029,296505
2449029,10159
2449029,57245
2449029,294980
2449029,10145
2449029,57371
2449029,295335
2449029,10179
2449029,57299
2449029,296410
2449029,10134
2449029,58184
2449029,297925
2449029,10185
2449029,57675
2449029,298471
2449029,10126
2449029,56761
2449029,293179
2449029,10173
2449029,58414
2449029,304510
2449029,10118
2449029,57464
2449029,295154
2449029,10153
2449029,58622
2449029,305453
2449029,10140
2449029,58783
2449029,301778
2449029,64
2449029,404
2449029,2494
2449029,10011
2449029,47408
2449029,232765
2449029,9985
2449029,46079
2449029,226361
2449029,9992
2449029,46116
2449029,228049
2449029,9979
2449029,45473
2449029,224185
2449029,10026
2449029,46869
2449029,229580
2449029,10014
2449029,44955
2449029,221970
2449029,10036
2449029,45614
2449029,227435
2449029,9914
2449029,47292
2449029,236754
2449029,9900
2449029,46427
2449029,226850
2449029,9990
2449029,46178
2449029,227714
2449029,10023
